Id,PONumber,ItemNumber,OrderQty
73,39312,AESLLECL0160000,6
74,39312,ACGA00AG0210000,4
75,39312,ACCBKDAQ0020000,24
76,39312,AESLLEAQ0060000,6
77,39312,AESLLEAQ0170000,6
78,39312,AEKT00AG0230000,12
79,39315,AEHESUAQ0020000,240
80,39315,AEHESUAQ0010000,288
81,39315,AEHESUAQ0120000,480
82,39315,AEHESUAQ0130000,72
83,39315,AEHESUAQ0140000,72
84,39315,AEHESUAQ0150000,72
85,39315,AEHESUAQ0160000,72
86,39315,AEHESUAQ0170000,72
87,39315,AEIN00AQ0090000,24
88,39315,AEIN00AQ0100000,36
89,39315,AEIN00AQ0060000,480
90,39315,AEIN00AQ0070000,144
91,39315,AEIN00AQ0080000,144
92,39315,AEHO00AG0010000,480
93,39315,AEHO00AG0020000,144
94,39315,AEHO00AG0030000,144
95,39315,AEHO00AG0060000,240
96,39315,AEHO00AG0040000,432
97,39315,AECN00AQ0010000,72
98,39315,AECN00AQ0020000,60
99,39315,AECN00AQ0030000,60
100,39316,ACGA00AG0710000,24
101,39316,RCSK00AG0010000,36
102,39316,RCSK00AG0170000,24
103,39316,AECP00AG0010000,192
104,39316,AECP00AG0020000,96
105,39316,AECP00AG0030000,72
106,39316,AECP00AG0040000,72
107,39316,ACGT00AG0090000,72
108,39316,ACGT00AG0290000,6
109,39316,ACGT00AG0310000,6
110,39316,RCTA00AG0080000,36
111,39316,RCTA00AG0060000,72
112,39316,RCTA00AG0070000,72
113,39316,RCTA00AG0090000,96
114,39316,RCTA00AG0110000,48
115,39316,RCTA00AG0120000,72
116,39316,RCTA00AG0170000,72
117,39316,ACKTPAAG0020000,12
118,39316,ACCBKDAG0010000,24
119,39316,AEKT00AG0140000,36
120,39316,ACDT00AQ0090000,144
121,39316,ACDT00AQ0030000,40
122,39316,ACDT00AQ0040000,48
123,39316,AESLLEAQ0140000,144
124,39316,AESLLEAQ0150000,144
125,39316,AEKTDTAQ0020000,40
126,39316,AEKTDTAG0010000,96
127,39316,AEKTDTAG0050000,120
128,39316,AEKTDTAG0020000,120
129,39316,AEKTDTAG0030000,72
130,39316,AESLLEAQ0170000,24
131,39316,AESLLEAQ0180000,60
132,39316,AESLLEAQ0190000,36
133,39316,AESLLEAQ0130000,12
134,39316,AESLLEAQ0060000,24
135,39316,AESLLEAQ0070000,24
136,39316,AESLLEAQ0080000,24
137,39316,AEKT00AG0220000,48
138,39316,AEKT00AG0230000,12
139,39316,AEKTDTAQ0030000,36
140,39316,AEKT00AG0010000,24
141,39316,AEKT00AG0020000,36
142,39316,AEKT00AG0210000,6
143,39316,AESLLECL0160000,12
144,39316,RCTA00CL0320000,12
145,39316,RCTA00CL0330000,18
146,39316,RCTA00CL0290000,18
147,39316,RCTA00CL0300000,6
148,39322,DFTR00FD2100000,3
149,39322,DFTR00FD2580000,3
150,39322,DFTR00FD2070000,3
151,39322,BFPL00FD0050000,2
152,39322,BFPL00FD0060000,1
153,39322,BFPL00FD0040000,1
154,39322,BFPL00FD0180000,1
155,39322,BFPL00FD0140000,1
156,39322,BFPL00FD0250000,2
157,39322,BFST00FD0060000,5
158,39322,BFST00FD0040000,3
159,39322,BFST00FD0050000,2
160,39322,BFST00FD0100000,4
161,39322,BIPR00JW0060000,8
162,39322,BIPR00JW0020000,3
163,39322,BIPR00JW0050000,6
164,39322,BIPR00JW0040000,6
165,39322,SFTR00FD0010000,2
166,39322,SFTR00FD0120000,2
167,39322,SFTR00FD0140000,2
168,39322,SFTR00FD0020000,4
169,39322,SFTR00FD0080000,2
170,39322,SFTR00FD0090000,2
171,39322,SFTR00FD0040000,5
172,39322,SFRF00FD0130000,3
173,39322,SFRF00FD0040000,6
174,39322,SVVM00FD0040000,4
175,39322,SVVM00FD0080000,6
176,39322,SVVM00FD0060000,3
177,39322,SFTR00FD0240000,6
178,39322,SFTR00FD0210000,4
179,39322,SHBC00FD0010000,2
180,39322,DCCGMCFD0100000,1
181,39322,DCCGMCFD0110000,1
182,39322,DQSP00FD0040000,12
183,39322,DXFT00FD0030000,2
184,39322,DJSC00FD0010000,1
185,39322,DJSC00FD0020000,2
186,39322,DXER00FD0020000,12
187,39322,DFBA00FD0790000,2
188,39322,DFBA00FD0730000,1
189,39323,AAGC00PY0210000,48
190,39323,AAGC00PY0230000,30
191,39323,AWWC00PY0020000,240
192,39323,AAGC00PY0040000,15
193,39323,AAGC00PY0300000,120
194,39323,AQAT00PY0030000,400
195,39318,AWWC00BA0010000,768
196,39318,AWWC00BA0030000,1440
197,39318,AWWC00BA0020000,2400
198,39318,AWWC00BA0040000,960
199,39318,AWBI00JU0030000,960
200,39318,AWBI00JU0010000,1440
201,39318,AWBI00JU0040000,720
202,39318,AWBI00JU0060000,360
203,39318,AWBI00JU0090000,300
204,39319,AFFD00OE0160000,144
205,39319,AFFD00OE0170000,144
206,39319,AFPL00OE0440000,432
207,39319,AFFK00OE0390000,288
208,39319,AFFK00OE0400000,144
209,39319,AFFK00OE0420000,3
210,39319,AFPL00OE0410000,280
211,39319,AFPL00OE0380000,24
212,39319,AFVA00OE0010000,192
213,39319,AFFK00OE0290000,12
214,39319,AFFK00OE0010000,140
215,39319,AFFK00OE0020000,288
216,39319,AFFK00OE0030000,144
217,39319,AFFK00OE0040000,72
218,39319,AFFK00OE0080000,144
219,39319,AFFK00OE0090000,96
220,39319,AFFK00OE0100000,96
221,39319,AFFK00OE0170000,72
222,39319,AFFK00OE0180000,48
223,39319,AFFK00OE0190000,72
224,39319,AFFK00OE0200000,140
225,39319,AFFK00OE0220000,144
226,39319,AFFK00OE0240000,216
227,39319,AFFK00OE0250000,192
228,39319,AFFK00OE0260000,48
229,39319,AFSW00OE0010000,252
230,39319,AFSW00OE0020000,84
231,39319,AFPL00OE0020000,96
232,39319,AFPL00OE0040000,48
233,39319,AFPL00OE0070000,144
234,39319,AFPL00OE0080000,288
235,39319,AFPL00OE0100000,144
236,39319,AFPL00OE0180000,48
237,39319,AFPL00OE0190000,140
238,39319,AFPL00OE0200000,144
239,39319,AFPL00OE0210000,144
240,39319,AFPL00OE0220000,140
241,39319,AFPL00OE0230000,72
242,39319,AFFD00OE0010000,288
243,39319,AFFD00OE0030000,144
244,39319,AFFD00OE0040000,576
245,39319,AFFD00OE0050000,72
246,39319,AFFD00OE0060000,48
247,39319,AFFD00OE0070000,144
248,39319,AFFD00OE0080000,96
249,39319,AFFD00OE0110000,72
250,39319,AFFD00OE0120000,96
251,39319,AAFE00OE0010000,72
252,39319,AFFD00OE0100000,144
253,39319,AFPL00OE0270000,48
254,39319,AFPL00OE0280000,72
255,39319,AFPL00OE0290000,72
256,39319,AFPL00OE0330000,48
257,39319,AFFK00OE0380000,4
258,39319,AFPL00OE0380000,24
259,39317,SLBD00KT0070000,60
260,39317,SLBD00KT0050000,40
261,39317,SLBD00KT0060000,24
262,39317,SFTR00KT0440000,48
263,39317,SFHF00KT0030000,12
264,39317,SLBD00KT0130000,60
265,39317,SLBD00KT0140000,80
266,39317,SLBD00KT0160000,24
267,39317,SFTR00KT0010000,36
268,39317,SACR00KT0010000,24
269,39317,BFBA00KT0030000,60
270,39317,BFBA00KT0050000,48
271,39317,BFPL00KT0050000,24
272,39317,SFTR00KT0050000,24
273,39317,BFST00KT0080000,24
274,39317,SFTR00KT0070000,36
275,39317,SFTR00KT0250000,24
276,39317,SFMF00KT0010000,144
277,39317,BFST00KT0270000,432
278,39317,BFST00KT0280000,36
279,39317,BFMX00KT0160000,36
280,39317,BFBA00KT0090000,40
281,39317,BFST00KT0300000,12
282,39317,SFTR00KT0260000,12
283,39317,SLBD00KT0020000,72
284,39317,SFTR00KT0360000,36
285,39317,SFTR00KT0390000,48
286,39317,SFTR00KT0400000,18
287,39317,SFTR00KT0410000,6
288,39317,SLBD00KT0240000,24
289,39317,SFRF00KT0070000,12
290,39327,SFTR00MH0150000,12
291,39327,SFFF00MH0030000,600
292,39327,SFFF00MH0080000,300
293,39327,SFFF00MH0090000,400
294,39327,SFFF00MH0100000,150
295,39327,SFFF00MH0110000,600
296,39327,SFFF00MH0120000,300
297,39327,SLLT00MH0010000,15
298,39327,SNSP00MH0010000,60
299,39327,SILB00MH0020000,48
300,39327,SHCCSHMH0040000,12
301,39327,SHBC00MH0040000,12
302,39327,SVVM00MH0020000,24
303,39327,SGHG00MH0150000,24
304,39327,SFTR00MH0050000,36
305,39327,SFTR00MH0100000,72
306,39327,SACR00MH0270000,48
307,39327,SACR00MH0280000,144
308,39327,SYPL00MH0020000,24
309,39327,SGFL00MH0010000,36
310,39327,SYPS00MH0030000,24
311,39327,SYPS00MH0040000,12
312,39328,SFRF00KT0060000,720
313,39328,SFTR00KT0370000,144
314,39328,SFTR00KT0240000,360
315,39328,SLBD00KT0050000,288
316,39328,SLBD00KT0040000,144
317,39328,BFSE00KT0120000,360
318,39328,BFST00KT0040000,288
319,39328,BFST00KT0180000,24
320,39328,SFTR00KT0380000,24
321,39329,AWMSFIKM0010000,432
322,39329,AACB00KM0270000,144
323,39329,AWMSCOKM0160000,6
324,39329,AWMSCOKM0100000,12
325,39326,AWCH00BE0020000,24
326,39326,AWMSFIBE0010000,12
327,39326,AMCH00BE0050000,720
328,39326,AMCH00BE0060000,72
329,39326,AMCH00BE0130000,72
330,39326,AMCH00BE0170000,288
331,39326,AAMB00BE0010000,24
332,39326,AMCH00BE0220000,288
333,39326,AMCH00BE0250000,24
334,39324,AWBI00SM0200000,1200
335,39324,AWWC00SM0110000,126
336,39343,AMME00900010000,14760
337,39349,ADMG00CS0210000,70
338,39349,ADGR00CS0760000,192
339,39349,ADGR00CS0590000,288
340,39349,ADGR00CS0640000,150
341,39349,ADGR00CS0700000,100
342,39349,ADMR00CS0140000,6
343,39349,ADMR00CS0150000,6
344,39349,ADMR00CS0160000,6
345,39349,ADMR00CS0170000,6
346,39349,AWAC00CS0030000,64
347,39349,ADGR00CS0280000,96
348,39349,RHOT00CS0120000,48
349,39349,ADGR00CS0780000,40
350,39349,ADGR00CS0050000,100
351,39349,ADMR00CS0050000,96
352,39349,ADMG00CS0240000,50
353,39349,ADMG00CS0370000,50
354,39349,ADMG00CS0410000,96
355,39349,RHOT00CS0130000,80
356,39349,ADGR00CS0770000,200
357,39349,AAOT00CS0010000,24
358,39349,ADMG00CS0130000,96
359,39349,ADGR00CS0620000,96
360,39349,ADMG00CS0430000,384
361,39348,RWMD00CL0020000,360
362,39348,ADGR00CL0010000,432
363,39348,RDDOBRCL0010000,80
364,39348,AQASWSCL0040000,72
365,39348,RHOT00CL0250000,144
366,39348,RHOT00CL0240000,56
367,39348,RWCL00CL0020000,144
368,39348,REHEMACL0030000,48
369,39348,RAFE00CL0020000,24
370,39348,RDCA00CL0090000,10
371,39348,REIN00CL0010000,24
372,39348,REIN00CL0020000,24
373,39346,RDDE00FK0020000,24
374,39346,RFPL00FK0080000,360
375,39346,RFPL00FK0130000,30
376,39346,RFPL00FK0150000,20
377,39346,RFPL00FK0160000,20
378,39346,RDBA00FK0010000,24
379,39346,RLRBINFK0170000,40
380,39346,RDPL00FK0020000,20
381,39346,RDPL00FK0030000,20
382,39346,RCTO00FK0010000,12
383,39346,RCTO00FK0060000,12
384,39346,RCTO00FK0070000,36
385,39346,RCTO00FK0080000,48
386,39346,RFST00FK0050000,720
387,39346,RFFD00FK0040000,80
388,39399,AAGC00PY0210000,48
389,39399,AAGC00PY0230000,40
390,39399,AAGC00PY0150000,50
391,39399,AAGC00PY0160000,75
392,39399,AAGC00PY0170000,50
393,39399,AAGC00PY0360000,60
394,39399,AAGC00PY0370000,48
395,39399,AAGC00PY0410000,36
396,39399,AWWC00PY0020000,288
397,39399,AAGC00PY0250000,10
398,39399,AQAT00PY0040000,240
399,39399,AQAT00PY0050000,8
400,39399,AAGC00PY0290000,48
401,39399,AAGC00PY0310000,96
402,39399,AAGC00PY0280000,48
403,39399,AAGC00PY0300000,96
404,39399,AQAT00PY0030000,300
405,39399,AAGC00PY0330000,72
406,39399,PATU00PY0030000,200
407,39350,AESLLEQN0050000,24
408,39353,AWWC00SM0080000,4000
409,39353,AWWC00SM0100000,2400
410,39353,AWBI00SM0170000,256
411,39347,AXIDSWSJ0010000,180
412,39347,AXIDSWSJ0020000,420
413,39347,AXIDSWSJ0040000,240
414,39347,AXIDSWSJ0050000,300
415,39347,AXIDSWSJ0060000,180
416,39347,AXIDSWSJ0080000,120
417,39347,AXIDSWSJ0090000,180
418,39347,AXIDSWSJ0110000,80
419,39354,ACGA00SE0910000,20
420,39354,ACGT00SE0290000,36
421,39354,ACGT00SE0300000,48
422,39354,ACGA00SE0900000,50
423,39354,ACGA00SE0510000,3
424,39354,ACGA00SE0730000,24
425,39354,ACGA00SE0740000,72
426,39354,ACGA00SE0750000,100
427,39354,ACGA00SE0770000,72
428,39354,ACGA00SE0020000,150
429,39354,ACGA00SE0030000,100
430,39354,ACGA00SE0350000,88
431,39354,ACGA00SE0360000,80
432,39354,AECP00SE0040000,60
433,39354,AECP00SE0010000,24
434,39354,AECP00SE0020000,48
435,39354,AECP00SE0030000,90
436,39354,ACGA00SE0010000,104
437,39354,ACGA00SE0600000,42
438,39354,ACGA00SE0610000,56
439,39354,ACGA00SE0620000,20
440,39354,ACGA00SE0800000,3
441,39354,ACGA00SE0440000,12
442,39354,ACGA00SE0140000,5
443,39356,ACGA00SE0750000,100
444,39356,ACGA00SE0740000,100
445,39356,ACGA00SE0770000,50
446,39356,ACGA00SE0900000,50
447,39356,ACGA00SE0910000,50
448,39356,ACGA00SE0580000,200
449,39356,ACGA00SE0570000,200
450,39356,ACGA00SE0600000,100
451,39356,ACGA00SE0610000,100
452,39356,ACGA00SE0630000,50
453,39356,ACGA00SE0010000,135
454,39356,ACGA00SE0690000,10
455,39356,ACGA00SE0840000,8
456,39356,ACGA00SE0790000,12
457,39356,ACGA00SE0960000,3
458,39356,ACGA00SE0670000,1
459,39356,ACGA00SE0760000,10
460,39356,ACGA00SE0890000,10
461,39352,AWPL00SM0580000,25
462,39352,AWFT00SM0250000,12
463,39352,AWMSCOSM0460000,25
464,39352,AWMSCOSM0300000,25
465,39352,AWPL00SM0370000,72
466,39352,AWPL00SM0030000,48
467,39352,AWFT00SM0170000,12
468,39352,AWBI00SM0220000,100
469,39352,AWMSCOSM0880000,36
470,39352,AWMSCOSM0900000,36
471,39352,AWMSCOSM0940000,36
472,39352,AMBI00SM0130000,3
473,39352,AWWC00SM0220000,25
474,39352,AWFT00SM0740000,50
475,39352,ARWDACSM0020000,12
476,39352,APHO00SM0070000,12
477,39352,AWFT00SM0070000,12
478,39352,AMBI00SM0060000,72
479,39352,AWPL00SM0410000,12
480,39352,AWWC00SM0190000,8
481,39352,ARCRACSM0030000,1
482,39352,AMHO00SM0170000,12
483,39352,AMHO00SM0180000,36
484,39352,AMHO00SM0190000,12
485,39352,AEHO00SM0030000,160
486,39352,AEHO00SM0010000,120
487,39352,AWFT00SM0690000,75
488,39352,AWMSCOSM1010000,12
489,39352,AWMSCOSM0950000,25
490,39352,CFCNLQSM0010000,75
491,39358,ACGA00SE0750000,100
492,39358,ACGA00SE0740000,100
493,39358,ACGA00SE0770000,50
494,39358,ACGA00SE0900000,50
495,39358,ACGA00SE0910000,25
496,39358,ACGA00SE0600000,100
497,39358,ACGA00SE0610000,100
498,39358,ACGA00SE0370000,35
499,39358,ACGT00SE0110000,120
500,39358,ACGT00SE0140000,120
501,39321,BIPR00HG0090000,7
502,39321,BIPR00HG0080000,7
503,39321,BIPR00HG0070000,7
504,39321,BIPR00HG0110000,7
505,39321,BFPL00HG0310000,12
506,39321,BFSE00HG0110000,6
507,39321,BFSE00HG0090000,4
508,39321,BFPL00HG0280000,4
509,39321,BFPL00HG0220000,4
510,39321,BFPL00HG0010000,3
511,39321,BFPL00HG0040000,3
512,39321,BFPL00HG0270000,5
513,39321,BFSE00HG0050000,4
514,39321,BFPL00HG0170000,4
515,39321,BFSE00HG0040000,4
516,39321,BFSE00HG0060000,4
517,39321,BFST00HG0030000,3
518,39321,BFTR00HG0020000,3
519,39321,BFTR00HG0010000,3
520,39321,DFBA00HG0810000,4
521,39321,SCPC00HG0010000,40
522,39357,ACGA00SE0970000,48
523,39357,ACGA00SE0980000,60
524,39357,ACGA00SE1000000,25
525,39357,ACGA00SE1010000,25
526,39357,ACGA00SE1020000,50
527,39357,ACGA00SE1110000,25
528,39377,BFSE00DA0010000,18
529,39377,BFSE00DA0020000,0
530,39377,BFSE00DA0030000,18
531,39377,BFSE00DA0040000,72
532,39377,BFSE00DA0050000,60
533,39377,BFSE00DA0070000,12
534,39377,BFSE00DA0140000,12
535,39377,BFSE00DA0120000,10
536,39377,BFSE00DA0080000,15
537,39377,BFSE00DA0160000,12
538,39377,BFSE00DA0090000,15
539,39377,BFSE00DA0100000,15
540,39377,BFSE00DA0110000,15
541,39377,BFSE00DA0130000,10
542,39377,BFSE00DA0150000,10
543,39377,BFTR00DA0010000,10
544,39377,BFTR00DA0020000,10
545,39377,BFTR00DA0030000,10
546,39377,BFTR00DA0040000,10
547,39377,BFTR00DA0050000,10
548,39377,BFTR00DA0060000,8
549,39377,BFTR00DA0070000,8
550,39377,BFTR00DA0080000,8
551,39377,BFTR00DA0090000,8
552,39377,BFTR00DA0100000,10
553,39377,SCMT00DA0010000,5
554,39377,SFRF00DA0030000,36
555,39377,SFRF00DA0040000,12
556,39377,SFHF00DA0130000,12
557,39377,SFRF00DA0050000,36
558,39377,SFTR00DA0010000,14
559,39377,SFTR00DA0020000,14
560,39377,SFTR00DA0090000,14
561,39377,SFHF00DA0120000,16
562,39377,SFHF00DA0070000,24
563,39377,SFHF00DA0080000,10
564,39377,SFHF00DA0090000,8
565,39377,SFHF00DA0100000,18
566,39377,SFRF00DA0060000,40
567,39377,SFHF00DA0110000,16
568,39377,SFHF00DA0140000,0
569,39379,AAGC00PY0230000,30
570,39380,AAGC00PY0340000,200
571,39381,AAGC00PY0210000,96
572,39381,AAGC00PY0230000,40
573,39381,AAGC00PY0360000,96
574,39381,AAGC00PY0370000,84
575,39381,AWBI00PY0060000,192
576,39381,AAGC00PY0250000,6
577,39381,AAGC00PY0260000,30
578,39381,AAGC00PY0030000,30
579,39381,AQAT00PY0050000,24
580,39381,AAGC00PY0290000,60
581,39381,AAGC00PY0310000,168
582,39381,AAGC00PY0300000,96
583,39381,AQAT00PY0030000,300
584,39325,CXVI00PJ0010000,24
585,39325,CXNSLQPJ0060000,48
586,39325,DHHC00PJ0050000,24
587,39325,DJSC00PJ0030000,12
588,39325,DJSC00PJ0050000,12
589,39325,DJSC00PJ0100000,12
590,39325,DJSC00PJ0120000,12
591,39325,DJSC00PJ0130000,12
592,39325,DJSC00PJ0200000,12
593,39325,DJSC00PJ0220000,12
594,39325,DXNSDRPJ0010000,432
595,39345,AFPL00HK0120000,48
596,39345,AFPL00HK0180000,48
597,39345,AFPL00HK0440000,144
598,39345,AFPL00HK0720000,480
599,39345,AFPL00HK0530000,96
600,39345,AFPL00HK0500000,96
601,39345,AFPL00HK1060000,72
602,39382,AEIP00HY0350000,24
603,39382,AEHEEXHY0030000,32
604,39382,AEHESUHY0100000,72
605,39382,AEHESUHY0130000,72
606,39382,AEHESUHY0070000,48
607,39382,AEHESUHY0120000,48
608,39382,AEAPELHY0180000,8
609,39382,AEIP00HY0220000,192
610,39382,AEIP00HY0230000,144
611,39382,AEIP00HY0240000,120
612,39382,AEIP00HY0250000,72
613,39382,AEIP00HY0260000,48
614,39382,AEIP00HY0270000,24
615,39382,AEIP00HY0290000,120
616,39382,AEPWEXHY0010000,12
617,39382,AEIP00HY0460000,96
618,39382,AEIP00HY0470000,96
619,39382,AEIP00HY0480000,72
620,39382,AEIP00HY0490000,288
621,39382,AEIP00HY0500000,24
622,39386,BFPL00FD0010000,2
623,39386,BFST00FD0050000,5
624,39386,BFST00FD0100000,6
625,39386,SLBD00FD0190000,6
626,39386,SFTR00FD0010000,10
627,39386,SFTR00FD0120000,10
628,39386,SFTR00FD0020000,6
629,39386,SFTR00FD0080000,6
630,39386,SFTR00FD0090000,4
631,39386,SFTR00FD0040000,4
632,39386,SFTR00FD0030000,6
633,39386,SFMF00FD0010000,3
634,39386,SFRF00FD0010000,3
635,39386,SFRF00FD0020000,6
636,39386,SFHF00FD0050000,2
637,39386,SFMF00FD0090000,2
638,39386,SFTR00FD0390000,6
639,39386,SFTR00FD0210000,3
640,39386,DFTR00FD3050000,3
641,39386,CCLBACRF0010000,6
642,39386,CCLBACRF0020000,6
643,39344,PAFS00SA0150000,6
644,39344,PWCL00SA0210000,36
645,39344,PEIP00SA0030000,2
646,39344,PANT00SA0010000,12
647,39344,PANT00SA0030000,12
648,39344,PATU00SA0020000,300
649,39344,PEIP00SA0210000,6
650,39344,PEAPELSA0010000,24
651,39344,PEAPELSA0020000,24
652,39344,PFPL00SA0090000,96
653,39344,PEEXPUSA0040000,6
654,39344,PESB00SA0030000,6
655,39344,PESB00SA0040000,6
656,39344,PESB00SA0050000,4
657,39344,PWACLQSA0020000,12
658,39344,PANT00SA0100000,24
659,39344,PANT00SA0110000,24
660,39344,PANT00SA0120000,24
661,39344,PFPL00SA0120000,24
662,39344,PFPL00SA0130000,12
663,39344,PFPL00SA0140000,24
664,39344,PEIP00SA0460000,3
665,39344,PWCL00SA0040000,12
666,39344,PWBI00SA0110000,12
667,39344,PPUV00SA0010000,3
668,39344,PAFI00SA0170000,24
669,39344,AOAF00900390000,1
670,39392,AQASSSPP0160000,24
671,39392,ADORARPP0350000,72
672,39392,ADORARPP0270000,48
673,39392,ADORARPP0370000,72
674,39392,ADORARPP0130000,24
675,39392,ADORARPP0190000,48
676,39392,ACBW00PP0100000,12
677,39392,AQVCGVPP0130000,48
678,39392,AQVCGVPP0140000,16
679,39392,ADORPLPP1760000,24
680,39392,ADORPLPP1780000,24
681,39392,AANT00PP0110000,144
682,39392,AQAT00PP0080000,60
683,39392,ARIN00PP0040000,24
684,39392,AMIN00PP0030000,96
685,39392,ADORPLPP1720000,12
686,39392,AQAT00PP0060000,120
687,39392,ATTHSTPP0030000,240
688,39392,ATTHSTPP0040000,120
689,39392,ADORPLPP1840000,12
690,39392,ADORPLPP1860000,24
691,39392,ADORPLPP1880000,24
692,39392,AACB00PP0100000,36
693,39392,AATD00PP0050000,24
694,39392,AATD00PP0060000,24
695,39392,AATD00PP0070000,24
696,39392,AATD00PP0080000,24
697,39392,ADORPLPP0630000,144
698,39392,ADORPLPP0760000,72
699,39392,ADORPLPP0770000,72
700,39392,ADORPLPP0890000,72
701,39392,ADORPLPP1070000,72
702,39392,ADORPLPP1320000,72
703,39392,ADORPLPP1380000,48
704,39392,AEAPBTPP0010000,12
705,39392,AANT00PP0100000,144
706,39392,AEAPELPP0100000,36
707,39392,AEAPELPP0110000,12
708,39392,ADORPLPP1730000,144
709,39392,ADORPLPP2120000,18
710,39392,ADORPLPP2140000,24
711,39392,ADORPLPP2150000,24
712,39392,ADORPLPP2180000,24
713,39392,RDDOBRPP0040000,36
714,39392,RDDOBRPP0050000,60
715,39392,BYWO00PP0020000,12
716,39392,BYWO00PP0040000,12
717,39392,SHTC00PP0010000,18
718,39392,BIPR00PP0270000,24
719,39392,BYRC00PP0020000,12
720,39392,BYRC00PP0040000,12
721,39392,BYPL00PP0010000,24
722,39392,BYPL00PP0040000,48
723,39392,BIPR00PP0300000,12
724,39392,BHBC00PP0030000,12
725,39392,BHBC00PP0040000,360
726,39392,BHBC00PP0050000,360
727,39392,BHBC00PP0060000,18
728,39392,BYRC00PP0100000,12
729,39392,BYPL00PP0070000,12
730,39392,BYRC00PP0130000,24
731,39392,BYRC00PP0150000,12
732,39392,BYRC00PP0220000,12
733,39392,BYPL00PP0090000,24
734,39392,CYIN00PP0030000,24
735,39392,CYST00PP0020000,6
736,39392,CYIN00PP0200000,18
737,39392,CYIN00PP0220000,36
738,39392,CYST00PP0160000,120
739,39392,CYST00PP0170000,180
740,39394,RDDE00FK0010000,48
741,39394,RLRBINFK0120000,24
742,39394,RFPL00FK0120000,20
743,39394,RFGE00FK0060000,60
744,39394,RWWA00FK0010000,24
745,39394,RFGE00FK0090000,60
746,39394,RVVI00FK0030000,32
747,39394,RVVI00FK0050000,32
748,39394,REFICLFK0020000,60
749,39394,RDDE00FK0080000,30
750,39394,RDPL00FK0010000,20
751,39394,RDPL00FK0020000,20
752,39394,RDPL00FK0030000,20
753,39394,RDPL00FK0040000,40
754,39394,RDBA00FK0020000,40
755,39394,RCTO00FK0010000,12
756,39394,RLRBHLFK0020000,20
757,39394,RLRBHLFK0040000,24
758,39394,RFST00FK0100000,60
759,39394,RFFD00FK0070000,72
760,39394,RFFD00FK0080000,72
761,39394,RFFD00FK0090000,96
762,39394,RFFD00FK0100000,72
763,39394,RFCA00FK0040000,72
764,39394,RFOT00FK0010000,144
765,39394,RFOT00FK0020000,144
766,39394,RFOT00FK0030000,144
767,39394,RFOT00FK0040000,144
768,39395,AEHESUEH0020000,3000
769,39395,AEHESUEH0040000,2400
770,39395,AEHESUEH0050000,1200
771,39395,AECN00EH0390000,90
772,39395,AECN00EH0400000,135
773,39395,AECN00EH0410000,480
