Id,BinCode,BinTypeId,Reference,Creator,CreateTime,WarehouseLocationId
254,RB040411,1,Picking Using only,System Inital,2/2/2021 20:47,1
255,RB040415,1,Picking Using only,System Inital,2/2/2021 20:47,1
256,RB040501,1,Picking Using only,System Inital,2/2/2021 20:47,1
257,RB040505,1,Picking Using only,System Inital,2/2/2021 20:47,1
258,RB040507,1,Picking Using only,System Inital,2/2/2021 20:47,1
259,RB040509,1,Picking Using only,System Inital,2/2/2021 20:47,1
260,RB040511,1,Picking Using only,System Inital,2/2/2021 20:47,1
261,RB040513,1,Picking Using only,System Inital,2/2/2021 20:47,1
262,RB040603,1,Picking Using only,System Inital,2/2/2021 20:47,1
263,RB040609,1,Picking Using only,System Inital,2/2/2021 20:47,1
264,RB040613,1,Picking Using only,System Inital,2/2/2021 20:47,1
265,RB040615,1,Picking Using only,System Inital,2/2/2021 20:47,1
266,RB040701,1,Picking Using only,System Inital,2/2/2021 20:47,1
267,RB040705,1,Picking Using only,System Inital,2/2/2021 20:47,1
268,RB040711,1,Picking Using only,System Inital,2/2/2021 20:47,1
269,RB040713,1,Picking Using only,System Inital,2/2/2021 20:47,1
270,RB040801,1,Picking Using only,System Inital,2/2/2021 20:47,1
271,RB040803,1,Picking Using only,System Inital,2/2/2021 20:47,1
272,RB040805,1,Picking Using only,System Inital,2/2/2021 20:47,1
273,RB040809,1,Picking Using only,System Inital,2/2/2021 20:47,1
274,RB040813,1,Picking Using only,System Inital,2/2/2021 20:47,1
275,RB040815,1,Picking Using only,System Inital,2/2/2021 20:47,1
276,RB040901,1,Picking Using only,System Inital,2/2/2021 20:47,1
277,RB040909,1,Picking Using only,System Inital,2/2/2021 20:47,1
278,RB040913,1,Picking Using only,System Inital,2/2/2021 20:47,1
279,RB041009,1,Picking Using only,System Inital,2/2/2021 20:47,1
280,RB050109,1,Picking Using only,System Inital,2/2/2021 20:47,1
281,RB050205,1,Picking Using only,System Inital,2/2/2021 20:47,1
282,RB050209,1,Picking Using only,System Inital,2/2/2021 20:47,1
283,RB050211,1,Picking Using only,System Inital,2/2/2021 20:47,1
284,RB050301,1,Picking Using only,System Inital,2/2/2021 20:47,1
285,RB050303,1,Picking Using only,System Inital,2/2/2021 20:47,1
286,RB050307,1,Picking Using only,System Inital,2/2/2021 20:47,1
287,RB050309,1,Picking Using only,System Inital,2/2/2021 20:47,1
288,RB050311,1,Picking Using only,System Inital,2/2/2021 20:47,1
289,RB050313,1,Picking Using only,System Inital,2/2/2021 20:47,1
290,RB050407,1,Picking Using only,System Inital,2/2/2021 20:47,1
291,RB050409,1,Picking Using only,System Inital,2/2/2021 20:47,1
292,RB050413,1,Picking Using only,System Inital,2/2/2021 20:47,1
293,RB050415,1,Picking Using only,System Inital,2/2/2021 20:47,1
294,RB050505,1,Picking Using only,System Inital,2/2/2021 20:47,1
295,RB050511,1,Picking Using only,System Inital,2/2/2021 20:47,1
296,RB050513,1,Picking Using only,System Inital,2/2/2021 20:47,1
297,RB050601,1,Picking Using only,System Inital,2/2/2021 20:47,1
298,RB050607,1,Picking Using only,System Inital,2/2/2021 20:47,1
299,RB050613,1,Picking Using only,System Inital,2/2/2021 20:47,1
300,RB050703,1,Picking Using only,System Inital,2/2/2021 20:47,1
301,RB050707,1,Picking Using only,System Inital,2/2/2021 20:47,1
302,RB050711,1,Picking Using only,System Inital,2/2/2021 20:47,1
303,RB050713,1,Picking Using only,System Inital,2/2/2021 20:47,1
304,RB050715,1,Picking Using only,System Inital,2/2/2021 20:47,1
305,RB050803,1,Picking Using only,System Inital,2/2/2021 20:47,1
306,RB050805,1,Picking Using only,System Inital,2/2/2021 20:47,1
307,RB050807,1,Picking Using only,System Inital,2/2/2021 20:47,1
308,RB050815,1,Picking Using only,System Inital,2/2/2021 20:47,1
309,RB060201,1,Picking Using only,System Inital,2/2/2021 20:47,1
310,RB060205,1,Picking Using only,System Inital,2/2/2021 20:47,1
311,RB060209,1,Picking Using only,System Inital,2/2/2021 20:47,1
312,RB060213,1,Picking Using only,System Inital,2/2/2021 20:47,1
313,RB060311,1,Picking Using only,System Inital,2/2/2021 20:47,1
314,RB060313,1,Picking Using only,System Inital,2/2/2021 20:47,1
315,RB060315,1,Picking Using only,System Inital,2/2/2021 20:47,1
316,RB060401,1,Picking Using only,System Inital,2/2/2021 20:47,1
317,RB060403,1,Picking Using only,System Inital,2/2/2021 20:47,1
318,RB060405,1,Picking Using only,System Inital,2/2/2021 20:47,1
319,RB060411,1,Picking Using only,System Inital,2/2/2021 20:47,1
320,RB060413,1,Picking Using only,System Inital,2/2/2021 20:47,1
321,RB060501,1,Picking Using only,System Inital,2/2/2021 20:47,1
322,RB060503,1,Picking Using only,System Inital,2/2/2021 20:47,1
323,RB060507,1,Picking Using only,System Inital,2/2/2021 20:47,1
324,RB060509,1,Picking Using only,System Inital,2/2/2021 20:47,1
325,RB060511,1,Picking Using only,System Inital,2/2/2021 20:47,1
326,RB060601,1,Picking Using only,System Inital,2/2/2021 20:47,1
327,RB060603,1,Picking Using only,System Inital,2/2/2021 20:47,1
328,RB060607,1,Picking Using only,System Inital,2/2/2021 20:47,1
329,RB060609,1,Picking Using only,System Inital,2/2/2021 20:47,1
330,RB060613,1,Picking Using only,System Inital,2/2/2021 20:47,1
331,RB060703,1,Picking Using only,System Inital,2/2/2021 20:47,1
332,RB060705,1,Picking Using only,System Inital,2/2/2021 20:47,1
333,RB060709,1,Picking Using only,System Inital,2/2/2021 20:47,1
334,RB060713,1,Picking Using only,System Inital,2/2/2021 20:47,1
335,RB060809,1,Picking Using only,System Inital,2/2/2021 20:47,1
336,RB060813,1,Picking Using only,System Inital,2/2/2021 20:47,1
337,RB060901,1,Picking Using only,System Inital,2/2/2021 20:47,1
338,RB060909,1,Picking Using only,System Inital,2/2/2021 20:47,1
339,RB060915,2,Storage only,System Inital,2/2/2021 20:47,1
340,RB070101,1,Picking Using only,System Inital,2/2/2021 20:47,1
341,RB070109,1,Picking Using only,System Inital,2/2/2021 20:47,1
342,RB070203,1,Picking Using only,System Inital,2/2/2021 20:47,1
343,RB070205,1,Picking Using only,System Inital,2/2/2021 20:47,1
344,RB070213,1,Picking Using only,System Inital,2/2/2021 20:47,1
345,RB070311,1,Picking Using only,System Inital,2/2/2021 20:47,1
346,RB070403,1,Picking Using only,System Inital,2/2/2021 20:47,1
347,RB070409,1,Picking Using only,System Inital,2/2/2021 20:47,1
348,RB070415,1,Picking Using only,System Inital,2/2/2021 20:47,1
349,RB070503,1,Picking Using only,System Inital,2/2/2021 20:47,1
350,RB070505,1,Picking Using only,System Inital,2/2/2021 20:47,1
351,RB070507,1,Picking Using only,System Inital,2/2/2021 20:47,1
352,RB070509,1,Picking Using only,System Inital,2/2/2021 20:47,1
353,RB070511,1,Picking Using only,System Inital,2/2/2021 20:47,1
354,RB070605,1,Picking Using only,System Inital,2/2/2021 20:47,1
355,RB070607,1,Picking Using only,System Inital,2/2/2021 20:47,1
356,RB070611,1,Picking Using only,System Inital,2/2/2021 20:47,1
357,RB070701,1,Picking Using only,System Inital,2/2/2021 20:47,1
358,RB070703,1,Picking Using only,System Inital,2/2/2021 20:47,1
359,RB070707,1,Picking Using only,System Inital,2/2/2021 20:47,1
360,RB070711,1,Picking Using only,System Inital,2/2/2021 20:47,1
361,RB070712,1,Picking Using only,System Inital,2/2/2021 20:47,1
362,RB070715,1,Picking Using only,System Inital,2/2/2021 20:47,1
363,RB070803,1,Picking Using only,System Inital,2/2/2021 20:47,1
364,RB070901,1,Picking Using only,System Inital,2/2/2021 20:47,1
365,RB070907,1,Picking Using only,System Inital,2/2/2021 20:47,1
366,RB071001,1,Picking Using only,System Inital,2/2/2021 20:47,1
367,RB080101,1,Picking Using only,System Inital,2/2/2021 20:47,1
368,RB080109,1,Picking Using only,System Inital,2/2/2021 20:47,1
369,RB080211,1,Picking Using only,System Inital,2/2/2021 20:47,1
370,RB080301,1,Picking Using only,System Inital,2/2/2021 20:47,1
371,RB080305,1,Picking Using only,System Inital,2/2/2021 20:47,1
372,RB080307,1,Picking Using only,System Inital,2/2/2021 20:47,1
373,RB080311,1,Picking Using only,System Inital,2/2/2021 20:47,1
374,RB080401,1,Picking Using only,System Inital,2/2/2021 20:47,1
375,RB080409,1,Picking Using only,System Inital,2/2/2021 20:47,1
376,RB080413,1,Picking Using only,System Inital,2/2/2021 20:47,1
377,RB080415,1,Picking Using only,System Inital,2/2/2021 20:47,1
378,RB080501,1,Picking Using only,System Inital,2/2/2021 20:47,1
379,RB080503,1,Picking Using only,System Inital,2/2/2021 20:47,1
380,RB080509,1,Picking Using only,System Inital,2/2/2021 20:47,1
381,RB080601,1,Picking Using only,System Inital,2/2/2021 20:47,1
382,RB080609,1,Picking Using only,System Inital,2/2/2021 20:47,1
383,RB080611,1,Picking Using only,System Inital,2/2/2021 20:47,1
384,RB080615,1,Picking Using only,System Inital,2/2/2021 20:47,1
385,RB080703,1,Picking Using only,System Inital,2/2/2021 20:47,1
386,RB080705,1,Picking Using only,System Inital,2/2/2021 20:47,1
387,RB080709,1,Picking Using only,System Inital,2/2/2021 20:47,1
388,RB080711,1,Picking Using only,System Inital,2/2/2021 20:47,1
389,RB080713,1,Picking Using only,System Inital,2/2/2021 20:47,1
390,RB080715,1,Picking Using only,System Inital,2/2/2021 20:47,1
391,RB080801,1,Picking Using only,System Inital,2/2/2021 20:47,1
392,RB080803,1,Picking Using only,System Inital,2/2/2021 20:47,1
393,RB080809,1,Picking Using only,System Inital,2/2/2021 20:47,1
394,RB080811,1,Picking Using only,System Inital,2/2/2021 20:47,1
395,RB080813,1,Picking Using only,System Inital,2/2/2021 20:47,1
396,RB080815,1,Picking Using only,System Inital,2/2/2021 20:47,1
397,RB080901,1,Picking Using only,System Inital,2/2/2021 20:47,1
398,RB080905,1,Picking Using only,System Inital,2/2/2021 20:47,1
399,RB080909,1,Picking Using only,System Inital,2/2/2021 20:47,1
400,RB080913,1,Picking Using only,System Inital,2/2/2021 20:47,1
401,RB100201,1,Picking Using only,System Inital,2/2/2021 20:47,1
402,RB100205,1,Picking Using only,System Inital,2/2/2021 20:47,1
403,RB100207,1,Picking Using only,System Inital,2/2/2021 20:47,1
404,RB100209,1,Picking Using only,System Inital,2/2/2021 20:47,1
405,RB100211,1,Picking Using only,System Inital,2/2/2021 20:47,1
406,RB100215,1,Picking Using only,System Inital,2/2/2021 20:47,1
407,RB100305,1,Picking Using only,System Inital,2/2/2021 20:47,1
408,RB100307,1,Picking Using only,System Inital,2/2/2021 20:47,1
409,RB100311,1,Picking Using only,System Inital,2/2/2021 20:47,1
